ID,JSON Key,Content Group,Context,Canonical Unit,English Source,Current Kannada,Claude Suggested Kannada,Reviewer Corrected Kannada,Status,Issue Types,Do Not Translate,Official Facts,Reviewer Notes,Source File,Source Line/Location
1,institution_overview.about,Institution Overview,Display paragraph,,"Sai Vidya Institute of Technology (SVIT) [cite: 8] Rajanukunte, Via Yalahanka, Bengaluru, Karnataka 560 064 [cite: 9] Established: 2008 [cite: 10] Campus: 12 acres [cite: 12] Students: 1,511+ [cite: 13] Faculty: 94+ [cite: 14]","ಸಾಯಿ ವಿದ್ಯಾ ಇನ್‌ಸ್ಟಿಟ್ಯೂಟ್ ಆಫ್ ಟೆಕ್ನಾಲಜಿ (SVIT) ರಾಜನುಕುಂಟೆ, ಯಲಹಂಕಾ ಮಾರ್ಗ, ಬೆಂಗಳೂರು, ಕರ್ನಾಟಕ 560 064 ಸ್ಥಾಪನೆ: 2008 ಕ್ಯಾಂಪಸ್: 12 ಎಕರೆ ವಿದ್ಯಾರ್ಥಿಗಳು: 1,511+ ಶಿಕ್ಷಕರು: 94+","ಸಾಯಿ ವಿದ್ಯಾ ಇನ್‌ಸ್ಟಿಟ್ಯೂಟ್ ಆಫ್ ಟೆಕ್ನಾಲಜಿ (SVIT), ರಾಜನುಕುಂಟೆ, ಯಲಹಂಕಾ ಮಾರ್ಗ, ಬೆಂಗಳೂರು, ಕರ್ನಾಟಕ - 560 064. ಸ್ಥಾಪನೆ: 2008. ಆವರಣ: 12 ಎಕರೆ. ವಿದ್ಯಾರ್ಥಿಗಳು: 1,511+. ಶಿಕ್ಷಕರು: 94+.",,AI Checked,Citation markers in English source; Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:3 kn:3 | institution_overview.about
2,institution_overview.vision_and_mission,Institution Overview,Display paragraph,,"""Contribute dedicated, skilled, and intelligent engineers and business administrators to architect a strong India and a globally progressive world."" [cite: 86] 1. Provide quality education and skill-based training to produce dedicated engineers and managers [cite: 88] 2. Promote research, innovation, and ethical practices by creating a supportive learning environment [cite: 89] 3. Undertake collaborative projects with academia and industry that transform young minds into socially responsible and globally competent professionals [cite: 90] 4. Enhance personality traits and leadership skills that foster entrepreneurship among students [cite: 91]","""ಬಲವಾದ ಭಾರತ ಮತ್ತು ಜಾಗತಿಕವಾಗಿ ಪ್ರಗತಿಪರ ವಿಶ್ವವನ್ನು ರಚಿಸಲು ಸಮರ್ಪಿತ, ಕೌಶಲ್ಯಪೂರ್ಣ ಮತ್ತು ಬುದ್ಧಿವಂತ ಎಂಜಿನಿಯರ್‌ಗಳು ಮತ್ತು ವ್ಯಾಪಾರ ನಿರ್ವಾಹಕರನ್ನು ಕೊಡುಗೆ ನೀಡಿ."" 1. ಸಮರ್ಪಿತ ಎಂಜಿನಿಯರ್‌ಗಳು ಮತ್ತು ವ್ಯವಸ್ಥಾಪಕರನ್ನು ತಯಾರಿಸಲು ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ ಮತ್ತು ಕೌಶಲ್ಯ ಆಧಾರಿತ ತರಬೇತಿಯನ್ನು ನೀಡುವುದು. 2. ಪೋಷಕ ಕಲಿಕೆಯ ವಾತಾವರಣವನ್ನು ರಚಿಸುವ ಮೂಲಕ ಸಂಶೋಧನೆ, ನಾವೀನ್ಯತೆ ಮತ್ತು ನೈತಿಕ ಅಭ್ಯಾಸಗಳನ್ನು ಉತ್ತೇಜಿಸುವುದು. 3. ಯುವ ಮನಸ್ಸುಗಳನ್ನು ಸಾಮಾಜಿಕವಾಗಿ ಜವಾಬ್ದಾರ ಮತ್ತು ಜಾಗತಿಕವಾಗಿ ಸಕ್ಷಮ ವೃತ್ತಿಪರರಾಗಿ ಪರಿವರ್ತಿಸುವ ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಉದ್ಯಮ ಸಹಯೋಗಿ ಯೋಜನೆಗಳನ್ನು ಕೈಗೊಳ್ಳುವುದು. 4. ವಿದ್ಯಾರ್ಥಿಗಳಲ್ಲಿ ಉದ್ಯಮಶೀಲತೆಯನ್ನು ಬೆಳೆಸುವ ವ್ಯಕ್ತಿತ್ವ ಲಕ್ಷಣಗಳು ಮತ್ತು ನಾಯಕತ್ವ ಕೌಶಲ್ಯಗಳನ್ನು ಹೆಚ್ಚಿಸುವುದು.","""ಬಲವಾದ ಭಾರತ ಮತ್ತು ಜಾಗತಿಕವಾಗಿ ಪ್ರಗತಿಪರ ವಿಶ್ವವನ್ನು ರಚಿಸಲು ಸಮರ್ಪಿತ, ಕೌಶಲ್ಯಪೂರ್ಣ ಮತ್ತು ಬುದ್ಧಿವಂತ ಎಂಜಿನಿಯರ್‌ಗಳು ಮತ್ತು ವ್ಯಾಪಾರ ನಿರ್ವಾಹಕರನ್ನು ಕೊಡುಗೆ ನೀಡಿ."" 1. ಸಮರ್ಪಿತ ಎಂಜಿನಿಯರ್‌ಗಳು ಮತ್ತು ವ್ಯವಸ್ಥಾಪಕರನ್ನು ತಯಾರಿಸಲು ಗುಣಮಟ್ಟದ ಶಿಕ್ಷಣ ಮತ್ತು ಕೌಶಲ್ಯ ಆಧಾರಿತ ತರಬೇತಿಯನ್ನು ನೀಡುವುದು. 2. ಪೋಷಕ ಕಲಿಕೆಯ ವಾತಾವರಣವನ್ನು ರಚಿಸುವ ಮೂಲಕ ಸಂಶೋಧನೆ, ನಾವೀನ್ಯತೆ ಮತ್ತು ನೈತಿಕ ಅಭ್ಯಾಸಗಳನ್ನು ಉತ್ತೇಜಿಸುವುದು. 3. ಯುವ ಮನಸ್ಸುಗಳನ್ನು ಸಾಮಾಜಿಕವಾಗಿ ಜವಾಬ್ದಾರ ಮತ್ತು ಜಾಗತಿಕವಾಗಿ ಸಕ್ಷಮ ವೃತ್ತಿಪರರಾಗಿ ಪರಿವರ್ತಿಸುವ ಶೈಕ್ಷಣಿಕ ಮತ್ತು ಉದ್ಯಮ ಸಹಯೋಗಿ ಯೋಜನೆಗಳನ್ನು ಕೈಗೊಳ್ಳುವುದು. 4. ವಿದ್ಯಾರ್ಥಿಗಳಲ್ಲಿ ಉದ್ಯಮಶೀಲತೆಯನ್ನು ಬೆಳೆಸುವ ವ್ಯಕ್ತಿತ್ವ ಲಕ್ಷಣಗಳು ಮತ್ತು ನಾಯಕತ್ವ ಕೌಶಲ್ಯಗಳನ್ನು ಹೆಚ್ಚಿಸುವುದು.",,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:4 kn:4 | institution_overview.vision_and_mission
3,institution_overview.affiliations_and_accreditations,Institution Overview,Display paragraph,,"{'university': 'Visvesvaraya Technological University (VTU), Belagavi [cite: 18]', 'technical_approval': 'All India Council for Technical Education (AICTE), New Delhi [cite: 18]', 'government_recognition': 'Government of Karnataka [cite: 19]', 'accreditation': 'NAAC Grade A [cite: 20]', 'nba_accreditation': 'Available for select departments (ECE) [cite: 21]'}","{'university': 'ವಿಶ್ವೇಶ್ವರಯ್ಯ ತಾಂತ್ರಿಕ ವಿಶ್ವವಿದ್ಯಾಲಯ (VTU), ಬೆಳಗಾವಿ', 'technical_approval': 'ಅಖಿಲ ಭಾರತ ತಾಂತ್ರಿಕ ಶಿಕ್ಷಣ ಮಂಡಳಿ (AICTE), ನವದೆಹಲಿ', 'government_recognition': 'ಕರ್ನಾಟಕ ಸರ್ಕಾರ', 'accreditation': 'NAAC ಗ್ರೇಡ್ A', 'nba_accreditation': 'ಆಯ್ದ ವಿಭಾಗಗಳಿಗೆ (ECE) ಲಭ್ಯ'}","{'university': 'ವಿಶ್ವೇಶ್ವರಯ್ಯ ತಾಂತ್ರಿಕ ವಿಶ್ವವಿದ್ಯಾಲಯ (VTU), ಬೆಳಗಾವಿ', 'technical_approval': 'ಅಖಿಲ ಭಾರತ ತಾಂತ್ರಿಕ ಶಿಕ್ಷಣ ಮಂಡಳಿ (AICTE), ನವದೆಹಲಿ', 'government_recognition': 'ಕರ್ನಾಟಕ ಸರ್ಕಾರ', 'accreditation': 'NAAC ಗ್ರೇಡ್ A', 'nba_accreditation': 'ಆಯ್ದ ವಿಭಾಗಗಳಿಗೆ (ECE) ಲಭ್ಯ'}",,Needs Native Review,Citation markers in English source; Raw dictionary string stored as plain string; Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:5 kn:5 | institution_overview.affiliations_and_accreditations
4,institution_overview.additional_details.tagline,Institution Overview,Short label,,"""Learn to Lead"" [cite: 15]","""ನಾಯಕತ್ವವನ್ನು ಕಲಿಯಿರಿ""","""ನಾಯಕತ್ವವನ್ನು ಕಲಿಯಿರಿ""",,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:- kn:- | institution_overview.additional_details.tagline
5,institution_overview.additional_details.motto,Institution Overview,Short label,,"""Empowering Engineers of Tomorrow with Cutting-Edge Education, Industry-Driven Curriculum, and Top Placements"" [cite: 16]","""ನಾಳಿನ ಎಂಜಿನಿಯರ್‌ಗಳನ್ನು ಅತ್ಯಾಧುನಿಕ ಶಿಕ್ಷಣ, ಉದ್ಯಮ-ಚಾಲಿತ ಪಠ್ಯಕ್ರಮ ಮತ್ತು ಉನ್ನತ ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳೊಂದಿಗೆ ಸಬಲೀಕರಣಗೊಳಿಸುವುದು""","""ನಾಳಿನ ಎಂಜಿನಿಯರ್‌ಗಳನ್ನು ಅತ್ಯಾಧುನಿಕ ಶಿಕ್ಷಣ, ಉದ್ಯಮ-ಚಾಲಿತ ಪಠ್ಯಕ್ರಮ ಮತ್ತು ಉನ್ನತ ಪ್ಲೇಸ್‌ಮೆಂಟ್‌ಗಳೊಂದಿಗೆ ಸಬಲೀಕರಣಗೊಳಿಸುವುದು""",,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:8 kn:8 | institution_overview.additional_details.motto
6,institution_overview.additional_details.founded_by,Institution Overview,Display sentence,,Sri Sai Vidya Vikas Shikshana Samithi (Group of eminent academicians) [cite: 11],ಶ್ರೀ ಸಾಯಿ ವಿದ್ಯಾ ವಿಕಾಸ ಶಿಕ್ಷಣ ಸಮಿತಿ (ಪ್ರಖ್ಯಾತ ಶಿಕ್ಷಣತಜ್ಞರ ಗುಂಪು),ಶ್ರೀ ಸಾಯಿ ವಿದ್ಯಾ ವಿಕಾಸ ಶಿಕ್ಷಣ ಸಮಿತಿ (ಪ್ರಖ್ಯಾತ ಶಿಕ್ಷಣತಜ್ಞರ ಗುಂಪು),,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:9 kn:9 | institution_overview.additional_details.founded_by
7,institution_overview.additional_details.infrastructure[0],Institution Overview,List item,,Modern infrastructure with advanced laboratories [cite: 23],ಸುಧಾರಿತ ಪ್ರಯೋಗಾಲಯಗಳೊಂದಿಗೆ ಆಧುನಿಕ ಮೂಲಸೌಕರ್ಯ,ಸುಧಾರಿತ ಪ್ರಯೋಗಾಲಯಗಳೊಂದಿಗೆ ಆಧುನಿಕ ಮೂಲಸೌಕರ್ಯ,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:11 kn:11 | institution_overview.additional_details.infrastructure[0]
8,institution_overview.additional_details.infrastructure[1],Institution Overview,List item,,Well-equipped libraries and extensive learning resources [cite: 24],ಸುಸಜ್ಜಿತ ಗ್ರಂಥಾಲಯಗಳು ಮತ್ತು ವ್ಯಾಪಕ ಕಲಿಕಾ ಸಂಪನ್ಮೂಲಗಳು,ಸುಸಜ್ಜಿತ ಗ್ರಂಥಾಲಯಗಳು ಮತ್ತು ವ್ಯಾಪಕ ಕಲಿಕಾ ಸಂಪನ್ಮೂಲಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:12 kn:12 | institution_overview.additional_details.infrastructure[1]
9,institution_overview.additional_details.infrastructure[2],Institution Overview,List item,,State-of-the-art computer centers [cite: 25],ಅತ್ಯಾಧುನಿಕ ಕಂಪ್ಯೂಟರ್ ಕೇಂದ್ರಗಳು,ಅತ್ಯಾಧುನಿಕ ಕಂಪ್ಯೂಟರ್ ಕೇಂದ್ರಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:13 kn:13 | institution_overview.additional_details.infrastructure[2]
10,institution_overview.additional_details.infrastructure[3],Institution Overview,List item,,Makers Space Lab for innovation and prototyping [cite: 26],ನಾವೀನ್ಯತೆ ಮತ್ತು ಮೂಲಮಾದರಿಗಾಗಿ ಮೇಕರ್ಸ್ ಸ್ಪೇಸ್ ಲ್ಯಾಬ್,ನಾವೀನ್ಯತೆ ಮತ್ತು ಮೂಲಮಾದರಿಗಾಗಿ ಮೇಕರ್ಸ್ ಸ್ಪೇಸ್ ಲ್ಯಾಬ್,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:14 kn:14 | institution_overview.additional_details.infrastructure[3]
